bl,,fitcbsa alone,,fbsaalone2,,fbsaalone3,,ph5 1,,ph5 2,,pH 5 3,,pH 6 1,,pH 6 2,,pH 6 3,,pH 7 1,,pH 7 2,,pH 7 3,,pH 8 1,,pH 8 2,,pH 8 3,,pH 9 1,,pH 9 2,,pH 9 3,,pH 10 1,,pH 10 2,,pH 10 3,,pH 11 1,,pH 11 2,,pH 11 3,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
500,-0.09320521355,500,44.86642838,500,44.20000458,500,44.08943939,500,22.89346123,500,62.90029526,500,20.94595718,500,6.500190735,500,8.402993202,500,7.672335625,500,11.16360474,500,8.346938133,500,7.966990471,500,7.912566185,500,9.815135956,500,14.25599766,500,23.10251236,500,19.78998566,500,33.80940628,500,110.1237183,500,143.2434235,500,133.7398376,500,176.1008148,500,177.6056824,500,167.0787964,
501.0400085,-1.309013486,501.0400085,49.43315125,501.0400085,48.90981674,501.0400085,48.05367661,501.0400085,9.836981773,501.0400085,28.44482803,501.0400085,9.723993301,501.0400085,3.913029432,501.0400085,7.643756866,501.0400085,6.566770554,501.0400085,11.00856018,501.0400085,6.850197792,501.0400085,7.195857048,501.0400085,7.387885094,501.0400085,9.817518234,501.0400085,13.43537235,501.0400085,24.15306091,501.0400085,16.59654045,501.0400085,36.67871475,501.0400085,122.1557007,501.0400085,162.1564178,501.0400085,150.2622833,501.0400085,196.1195221,501.0400085,203.0358734,501.0400085,186.8896027,e
501.9400024,-1.918347597,501.9400024,54.63418579,501.9400024,54.30496597,501.9400024,54.23474884,501.9400024,3.033725977,501.9400024,9.566653252,501.9400024,3.655146837,501.9400024,3.053846598,501.9400024,7.43072319,501.9400024,6.376974106,501.9400024,11.64310074,501.9400024,6.467102051,501.9400024,7.288319588,501.9400024,7.720572472,501.9400024,10.48005867,501.9400024,13.93530178,501.9400024,26.42608833,501.9400024,15.65317631,501.9400024,41.42193222,501.9400024,139.9427338,501.9400024,180.7032166,501.9400024,169.989563,501.9400024,221.9219818,501.9400024,227.4539948,501.9400024,212.5849762,
502.980011,-2.268713236,502.980011,60.96419525,502.980011,61.00420761,502.980011,59.75824738,502.980011,0.500320673,502.980011,2.221685648,502.980011,1.4717381,502.980011,2.844691038,502.980011,7.591997147,502.980011,6.687749863,502.980011,12.8115015,502.980011,6.775728226,502.980011,7.598739624,502.980011,8.311676025,502.980011,11.45518303,502.980011,14.64827442,502.980011,28.70836067,502.980011,16.14350319,502.980011,46.19333649,502.980011,156.459259,502.980011,204.6112213,502.980011,194.0296631,502.980011,250.9573059,502.980011,258.3528137,502.980011,239.9600983,
504.019989,-2.277467251,504.019989,69.15989685,504.019989,66.73640442,504.019989,66.919487,504.019989,-0.1183271408,504.019989,0.4132421017,504.019989,1.179261684,504.019989,3.234654188,504.019989,8.432370186,504.019989,7.228133202,504.019989,14.25620365,504.019989,7.469444275,504.019989,8.324807167,504.019989,9.220438004,504.019989,12.38385773,504.019989,16.39818573,504.019989,32.3042984,504.019989,17.13132286,504.019989,51.40278244,504.019989,177.1022644,504.019989,231.8045044,504.019989,216.4979095,504.019989,282.3138733,504.019989,291.59375,504.019989,265.0499268,
505.0700073,-2.340047121,505.0700073,75.70576477,505.0700073,74.15272522,505.0700073,73.45078278,505.0700073,0.1518599987,505.0700073,0.3440363407,505.0700073,1.11066103,505.0700073,3.244575739,505.0700073,8.734204292,505.0700073,7.985541344,505.0700073,15.45031452,505.0700073,7.820487976,505.0700073,9.554677963,505.0700073,10.19228649,505.0700073,13.41611767,505.0700073,17.50355721,505.0700073,35.16308975,505.0700073,18.61211205,505.0700073,55.44607162,505.0700073,197.0158691,505.0700073,256.1510315,505.0700073,243.389328,505.0700073,317.2547607,505.0700073,323.7844543,505.0700073,297.341156,
505.9700012,-2.312357664,505.9700012,80.36243439,505.9700012,79.66020203,505.9700012,79.036026,505.9700012,0.01650977135,505.9700012,0.391628027,505.9700012,1.364302158,505.9700012,3.821264982,505.9700012,9.515381813,505.9700012,8.954555511,505.9700012,16.52783775,505.9700012,8.690407753,505.9700012,9.677695274,505.9700012,10.90901756,505.9700012,14.28618145,505.9700012,18.97566032,505.9700012,38.04969406,505.9700012,20.10030365,505.9700012,60.50671005,505.9700012,214.0777893,505.9700012,278.303772,505.9700012,261.7002869,505.9700012,342.3414917,505.9700012,353.1318054,505.9700012,323.5101013,
507.0100098,-2.33963871,507.0100098,88.40940857,507.0100098,87.54792786,507.0100098,87.48014832,507.0100098,0.1575739384,507.0100098,0.4038565159,507.0100098,1.593138456,507.0100098,4.356561661,507.0100098,10.60385418,507.0100098,9.386442184,507.0100098,18.25824928,507.0100098,9.302331924,507.0100098,10.85983849,507.0100098,11.62491131,507.0100098,15.35066891,507.0100098,21.10702705,507.0100098,41.064888,507.0100098,21.77656555,507.0100098,66.8693924,507.0100098,236.5245056,507.0100098,309.5476379,507.0100098,293.1971741,507.0100098,378.2868652,507.0100098,392.675354,507.0100098,352.7420044,
508.0499878,-2.330410004,508.0499878,95.07129669,508.0499878,94.05218506,508.0499878,94.45371246,508.0499878,0.464597702,508.0499878,0.4672629833,508.0499878,1.952889204,508.0499878,4.715871811,508.0499878,11.05494595,508.0499878,10.19016075,508.0499878,19.73581505,508.0499878,9.854828835,508.0499878,11.22232246,508.0499878,12.38099384,508.0499878,16.52031708,508.0499878,21.82895851,508.0499878,43.87284088,508.0499878,24.06931496,508.0499878,70.64109802,508.0499878,254.325119,508.0499878,336.1147461,508.0499878,316.572876,508.0499878,412.7853088,508.0499878,423.7615662,508.0499878,383.7271118,
